fsc_adj,chl_adj,pe_adj
"-24035.166666666664",-23402.083333333332,-38825.666666666664
"-31315.166666666664",-17727.083333333332,-40612.666666666664
"-31379.166666666664",-16474.083333333332,-41257.666666666664
"-35609.166666666664",-16399.083333333332,-41748.666666666664
"-38563.166666666664",-18372.083333333332,-42516.666666666664
"-5294.166666666664",6944.916666666668,-35182.666666666664
"-26409.166666666664",-24308.083333333332,-39876.666666666664
"-34067.166666666664",-21887.083333333332,-36921.666666666664
"-3134.1666666666642",7477.916666666668,-40846.666666666664
"-25331.166666666664",-16719.083333333332,-39102.666666666664
"-33315.166666666664",-21519.083333333332,-41364.666666666664
"-32995.166666666664",-22287.083333333332,-40676.666666666664
"-19006.166666666664",-21066.083333333332,-37358.666666666664
"-36867.166666666664",-19834.083333333332,-41908.666666666664
"-37614.166666666664",-5572.083333333332,-41748.666666666664
"-33513.166666666664",-17295.083333333332,-41102.666666666664
"-33267.166666666664",-20868.083333333332,-41028.666666666664
"-29465.166666666664",-19748.083333333332,-40969.666666666664
"-34131.166666666664",-16580.083333333332,-36345.666666666664
"-30302.166666666664",-20223.083333333332,-40270.666666666664
"-35001.166666666664",-21764.083333333332,-41598.666666666664
"-39593.166666666664",-19220.083333333332,-42510.666666666664
"-4595.166666666664",8592.916666666668,-38404.666666666664
"-13209.166666666664",-21908.083333333332,-44217.666666666664
"-35438.166666666664",-22959.083333333332,-41273.666666666664
"-32174.166666666664",-18799.083333333332,-40590.666666666664
"-32803.166666666664",-21994.083333333332,-41182.666666666664
10236.833333333336,7312.916666666668,-26697.666666666664
1398.8333333333358,9973.916666666668,-40484.666666666664
"-33747.166666666664",-13487.083333333332,-40510.666666666664
"-28937.166666666664",-16959.083333333332,-40446.666666666664
"-34483.166666666664",-19204.083333333332,-41940.666666666664
"-22547.166666666664",-2186.083333333332,-40628.666666666664
"-32041.166666666664",-16644.083333333332,-38644.666666666664
"-35417.166666666664",-22799.083333333332,-41246.666666666664
"-35123.166666666664",-20746.083333333332,-43513.666666666664
"-33550.166666666664",-18228.083333333332,-42921.666666666664
"-3566.1666666666642",10139.916666666668,-40809.666666666664
"-36782.166666666664",-19700.083333333332,-40702.666666666664
"-32542.166666666664",-20511.083333333332,-42660.666666666664
"-33529.166666666664",-20890.083333333332,-41140.666666666664
"-23689.166666666664",-16863.083333333332,-40841.666666666664
"-18937.166666666664",-8884.083333333332,-32132.666666666664
"-39129.166666666664",-18559.083333333332,-40238.666666666664
"-20377.166666666664",-12970.083333333332,-37060.666666666664
"-25278.166666666664",-15151.083333333332,-41833.666666666664
"-41859.166666666664",-23375.083333333332,-41689.666666666664
"-32809.166666666664",-17732.083333333332,-40004.666666666664
"-33875.166666666664",-15076.083333333332,-39748.666666666664
"-11326.166666666664",-1215.0833333333321,-39806.666666666664
"-36238.166666666664",-22938.083333333332,-41609.666666666664
"-35449.166666666664",-19850.083333333332,-43193.666666666664
"-30233.166666666664",-19727.083333333332,-38830.666666666664
"-37299.166666666664",-22340.083333333332,-41140.666666666664
"-26297.166666666664",-18719.083333333332,-42590.666666666664
"-25182.166666666664",-19199.083333333332,-41108.666666666664
"-36910.166666666664",-21636.083333333332,-41028.666666666664
"-22531.166666666664",-17364.083333333332,-39236.666666666664
"-35555.166666666664",-21487.083333333332,-38686.666666666664
"-29630.166666666664",-22372.083333333332,-41022.666666666664
"-33923.166666666664",-19807.083333333332,-41049.666666666664
"-7027.166666666664",4469.916666666668,-41092.666666666664
"-32387.166666666664",-12463.083333333332,-42345.666666666664
"-40723.166666666664",-21087.083333333332,-41465.666666666664
"-9577.166666666664",-8180.083333333332,-40009.666666666664
"-34782.166666666664",-17738.083333333332,-42409.666666666664
"-2531.1666666666642",12949.916666666668,-37790.666666666664
"-28750.166666666664",-19199.083333333332,-41998.666666666664
"-4947.166666666664",8539.916666666668,-37865.666666666664
"-27667.166666666664",-19439.083333333332,-38825.666666666664
"-30083.166666666664",-22532.083333333332,-39817.666666666664
"-11422.166666666664",912.9166666666679,-40382.666666666664
"-2451.1666666666642",-18639.083333333332,-40857.666666666664
316.83333333333576,12821.916666666668,-42366.666666666664
"-33321.166666666664",-19994.083333333332,-42089.666666666664
"-29379.166666666664",-17642.083333333332,-39529.666666666664
"-22969.166666666664",-23423.083333333332,-39396.666666666664
"-36425.166666666664",-16724.083333333332,-40638.666666666664
"-34233.166666666664",-16799.083333333332,-40921.666666666664
"-35635.166666666664",-19119.083333333332,-41305.666666666664
438.83333333333576,11499.916666666668,-40462.666666666664
8129.833333333336,22763.916666666668,-38745.666666666664
"-2105.1666666666642",9771.916666666668,-41294.666666666664
"-26457.166666666664",-17620.083333333332,-41353.666666666664
"-30094.166666666664",-18442.083333333332,-39534.666666666664
"-40446.166666666664",-23647.083333333332,-43636.666666666664
"-28979.166666666664",-23279.083333333332,-41636.666666666664
"-33886.166666666664",-14650.083333333332,-38153.666666666664
"-29587.166666666664",-18799.083333333332,-41449.666666666664
"-21022.166666666664",-15482.083333333332,-38212.666666666664
"-30153.166666666664",-20879.083333333332,-39721.666666666664
"-34190.166666666664",-23359.083333333332,-42153.666666666664
"-31822.166666666664",-20420.083333333332,-41326.666666666664
"-33161.166666666664",-15647.083333333332,-42457.666666666664
"-33822.166666666664",-13716.083333333332,-37710.666666666664
"-30014.166666666664",-23770.083333333332,-41966.666666666664
"-30958.166666666664",-19716.083333333332,-39433.666666666664
"-29497.166666666664",-13839.083333333332,-41012.666666666664
"-33166.166666666664",-18986.083333333332,-40404.666666666664
2721.8333333333358,-22031.083333333332,-38244.666666666664
"-33374.166666666664",-18762.083333333332,-41054.666666666664
"-30542.166666666664",-17530.083333333332,-41204.666666666664
5153.833333333336,17307.916666666668,-38142.666666666664
"-14777.166666666664",-7604.083333333332,-34377.666666666664
"-29779.166666666664",-21914.083333333332,-40814.666666666664
"-34366.166666666664",-16255.083333333332,-40724.666666666664
"-34473.166666666664",-18543.083333333332,-40478.666666666664
"-28825.166666666664",-20106.083333333332,-42398.666666666664
"-32958.166666666664",-17604.083333333332,-40340.666666666664
"-30926.166666666664",-14794.083333333332,-40558.666666666664
"-35310.166666666664",-20447.083333333332,-40196.666666666664
"-7065.166666666664",5387.916666666668,-41668.666666666664
"-36137.166666666664",-15770.083333333332,-41417.666666666664
"-37326.166666666664",-16324.083333333332,-39758.666666666664
"-38777.166666666664",-21599.083333333332,-41033.666666666664
"-33369.166666666664",-19146.083333333332,-40868.666666666664
"-29913.166666666664",-18714.083333333332,-43950.666666666664
"-27246.166666666664",-23562.083333333332,-41502.666666666664
"-30883.166666666664",-18735.083333333332,-40505.666666666664
"-26067.166666666664",-17231.083333333332,-41353.666666666664
"-31918.166666666664",-18063.083333333332,-41593.666666666664
"-28414.166666666664",-17162.083333333332,-41865.666666666664
"-37491.166666666664",-16143.083333333332,-40004.666666666664
"-34153.166666666664",-17311.083333333332,-41220.666666666664
"-29374.166666666664",-18532.083333333332,-40046.666666666664
"-24035.166666666664",-19119.083333333332,-41038.666666666664
"-33518.166666666664",-19444.083333333332,-41918.666666666664
"-36270.166666666664",-20506.083333333332,-41332.666666666664
"-35587.166666666664",-21898.083333333332,-41764.666666666664
"-39017.166666666664",-25322.083333333332,-41988.666666666664
"-31667.166666666664",-18842.083333333332,-41198.666666666664
"-24830.166666666664",-19562.083333333332,-43252.666666666664
"-35982.166666666664",-21562.083333333332,-39044.666666666664
"-27630.166666666664",-14703.083333333332,-41236.666666666664
"-750.1666666666642",3579.916666666668,-38628.666666666664
"-5891.166666666664",5883.916666666668,-40393.666666666664
"-36883.166666666664",-21380.083333333332,-42601.666666666664
"-30286.166666666664",-15983.083333333332,-41529.666666666664
"-27945.166666666664",-14602.083333333332,-40878.666666666664
"-33459.166666666664",-23108.083333333332,-43854.666666666664
"-9843.166666666664",3536.916666666668,-41753.666666666664
"-627.1666666666642",6768.916666666668,-39470.666666666664
"-36713.166666666664",-20362.083333333332,-43220.666666666664
"-36638.166666666664",-18196.083333333332,-42729.666666666664
"-36931.166666666664",-18500.083333333332,-41113.666666666664
"-37011.166666666664",-19972.083333333332,-41401.666666666664
"-40329.166666666664",-13546.083333333332,-41417.666666666664
"-35934.166666666664",-18063.083333333332,-44217.666666666664
"-9742.166666666664",-17759.083333333332,-35470.666666666664
